run_id,core,seed,sample,round,phase,position,label,bytes,accesses,start,salt,elapsed_ns,cpu_before,cpu_after,result,expected
2,E,20260918,133,0,warmup,133,stride_1,8192,65536,351,6120754590017635955,146321,19,19,17301109628318919744,17301109628318919744
2,E,20260918,134,0,warmup,134,stride_1,12288,65536,580,14964820187045075947,146232,19,19,12197877759395322698,12197877759395322698
2,E,20260918,135,0,warmup,135,pair_same_line,6291456,65536,379303,6222810347136724160,778926,19,19,17624098973437941237,17624098973437941237
2,E,20260918,136,0,warmup,136,pair_split_line,131072,65536,15952,3346983682271390602,217388,19,19,8563797462112499007,8563797462112499007
2,E,20260918,137,0,warmup,137,random,12582912,65536,521885,9416294980383600544,968419,19,19,7578237548139786774,7578237548139786774
2,E,20260918,138,0,warmup,138,stride_4097,196608,65536,4462,16413696678923264322,152073,19,19,725654603212849701,725654603212849701
2,E,20260918,139,0,warmup,139,stride_1_bis,12288,65536,702,3971928419092811513,146242,19,19,7616576619861872031,7616576619861872031
2,E,20260918,140,0,warmup,140,stride_17,6291456,65536,198671,11694553081710536299,376295,19,19,2151662974355799339,2151662974355799339
2,E,20260918,141,0,warmup,141,pair_split_line,393216,65536,8239,13449414060161380261,254075,19,19,4778043553901276228,4778043553901276228
2,E,20260918,142,0,warmup,142,random,24576,65536,1443,5645571800472126676,135425,19,19,8860587656233289881,8860587656233289881
2,E,20260918,143,0,warmup,143,pair_same_line,24576,65536,2179,10612978401647671847,181887,19,19,15743692879661168362,15743692879661168362
2,E,20260918,144,0,warmup,144,stride_4097,1572864,65536,176577,4707477079699429299,174679,19,19,18446219058122015775,18446219058122015775
2,E,20260918,145,0,warmup,145,stride_4097,131072,65536,875,13913548020134522546,151397,19,19,11433881829531298912,11433881829531298912
2,E,20260918,146,0,warmup,146,random,8192,65536,304,10921041792413575390,135380,19,19,17555250424491405238,17555250424491405238
2,E,20260918,147,0,warmup,147,stride_1_double,1572864,131072,39589,7879366861595390924,297330,19,19,11882143869765466909,11882143869765466909
2,E,20260918,148,0,warmup,148,stride_17,2097152,65536,42729,17211927770135716494,194022,19,19,13931395251326501947,13931395251326501947
2,E,20260918,149,0,warmup,149,stride_17,4194304,65536,183763,15935391278358626991,306407,19,19,6951097211773843591,6951097211773843591
2,E,20260918,150,0,warmup,150,stride_4097,1048576,65536,86927,15804334321320290375,152223,19,19,2934158074206385116,2934158074206385116
2,E,20260918,151,0,warmup,151,stride_1_double,12288,131072,920,1079179486428675722,297145,19,19,2471423470255065040,2471423470255065040
2,E,20260918,152,0,warmup,152,stride_1_bis,393216,65536,43830,331055229415646763,146433,19,19,3455779922033669230,3455779922033669230
2,E,20260918,153,0,warmup,153,stride_1_double,4096,131072,143,17801469291281708545,291712,19,19,5631010441657794560,5631010441657794560
2,E,20260918,154,0,warmup,154,stride_1,6144,65536,321,5052488979653201673,151729,19,19,5126748854254695679,5126748854254695679
2,E,20260918,155,0,warmup,155,stride_1_double,12582912,131072,603746,1616300275050463481,326396,19,19,4425560915899999348,4425560915899999348
2,E,20260918,156,0,warmup,156,stride_17,196608,65536,12377,5247531630695322158,159377,19,19,16852657176904509421,16852657176904509421
2,E,20260918,157,0,warmup,157,pair_same_line,12288,65536,807,15827203133225845288,191428,19,19,9225955648876587494,9225955648876587494
2,E,20260918,158,0,warmup,158,stride_4097,16777216,65536,1454032,2013391920999325494,1350939,19,19,8575969793843742839,8575969793843742839
2,E,20260918,159,0,warmup,159,stride_17,131072,65536,14024,12301657616513580171,143441,19,19,11433881829531298912,11433881829531298912
2,E,20260918,160,0,warmup,160,stride_513,3145728,65536,271255,6091655812893515280,202547,19,19,1692709656929842850,1692709656929842850
2,E,20260918,161,0,warmup,161,random,8388608,65536,8664,5053635562398106642,804135,19,19,2432200398338045165,2432200398338045165
2,E,20260918,162,0,warmup,162,stride_1_bis,16384,65536,625,1328668252779328603,143109,19,19,596753317960570688,596753317960570688
2,E,20260918,163,0,warmup,163,stride_1_bis,6144,65536,643,9950337150559736826,138917,19,19,2485033384011587221,2485033384011587221
2,E,20260918,164,0,warmup,164,pair_split_line,1048576,65536,95479,5765697866315083036,260647,19,19,8647142841594937350,8647142841594937350
2,E,20260918,165,0,warmup,165,stride_1,6291456,65536,546098,6903862636477535080,145700,19,19,3303513776014739956,3303513776014739956
2,E,20260918,166,0,warmup,166,stride_4097,8388608,65536,588418,211459650737554622,245910,19,19,16308094155769029550,16308094155769029550
2,E,20260918,167,0,warmup,167,stride_1,524288,65536,6955,4325015823412393169,151021,19,19,14463925804022624682,14463925804022624682
2,E,20260918,168,0,warmup,168,pair_split_line,98304,65536,4770,8567463770239377081,212296,19,19,503531524460204603,503531524460204603
2,E,20260918,169,0,warmup,169,stride_1_bis,1048576,65536,115303,5968966984732303876,146284,19,19,3701805575745610986,3701805575745610986
2,E,20260918,170,0,warmup,170,stride_1,1572864,65536,9088,14279782787462653989,146313,19,19,4774456704366714788,4774456704366714788
2,E,20260918,171,0,warmup,171,pair_same_line,3145728,65536,55045,6805604868255502463,344055,19,19,9815985051136990033,9815985051136990033
2,E,20260918,172,0,warmup,172,pair_split_line,6144,65536,558,9146577459030067958,193657,19,19,16185684083649124971,16185684083649124971
2,E,20260918,173,0,warmup,173,stride_17,4096,65536,117,10036543342846340965,146301,19,19,12038877257683673088,12038877257683673088
2,E,20260918,174,0,warmup,174,random,32768,65536,3781,12834650161684802278,135980,19,19,9423322544066862246,9423322544066862246
2,E,20260918,175,0,warmup,175,stride_513,12582912,65536,757693,1370941138414658796,534356,19,19,10867613472654770295,10867613472654770295
2,E,20260918,176,0,warmup,176,pair_split_line,2097152,65536,66495,14444503482385461564,358411,19,19,12793245624322762925,12793245624322762925
2,E,20260918,177,0,warmup,177,pair_split_line,6291456,65536,138515,9808979729673430154,845716,19,19,127846682385435832,127846682385435832
2,E,20260918,178,0,warmup,178,stride_1_double,6144,131072,82,5933689009678320163,308824,19,19,9843314641268758790,9843314641268758790
2,E,20260918,179,0,warmup,179,pair_same_line,49152,65536,5604,12395467775830525542,200034,19,19,10940354853915596375,10940354853915596375
2,E,20260918,180,0,warmup,180,stride_1_double,8388608,131072,110201,3663911196488849942,294473,19,19,13514317738531827628,13514317738531827628
2,E,20260918,181,0,warmup,181,stride_513,65536,65536,6680,4529067354444950345,154743,19,19,7944021436974161624,7944021436974161624
2,E,20260918,182,0,warmup,182,pair_same_line,12582912,65536,183763,17759278139961432190,1321910,19,19,17003559321233716837,17003559321233716837
2,E,20260918,183,0,warmup,183,pair_same_line,786432,65536,11128,190987528609539222,247036,19,19,12508819896851981556,12508819896851981556
2,E,20260918,184,0,warmup,184,random,49152,65536,4631,3615731158910152916,137985,19,19,141199252968209699,141199252968209699
2,E,20260918,185,0,warmup,185,stride_513,524288,65536,22169,5120012506876573835,150199,19,19,14463925804022624682,14463925804022624682
2,E,20260918,186,0,warmup,186,stride_4097,524288,65536,63410,9815385704637140385,156677,19,19,14463925804022624682,14463925804022624682
2,E,20260918,187,0,warmup,187,stride_4097,32768,65536,3104,13786438242186487911,146363,19,19,9885780910862425536,9885780910862425536
2,E,20260918,188,0,warmup,188,stride_1,65536,65536,5434,14611575140023331963,146287,19,19,7944021436974161624,7944021436974161624
2,E,20260918,189,0,warmup,189,stride_1_double,16384,131072,1035,413333838488952972,292436,19,19,1193506635921141376,1193506635921141376
