protocol,mode,prime,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,147,49,measure,0,A,20000,1,215816,21,21,14994256597784195625
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,148,49,measure,1,B,20000,2,401044,21,21,9371311143640888480
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,149,49,measure,2,A_bis,20000,1,200518,21,21,12108119608927811351
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,150,50,measure,0,B,20000,2,407891,21,21,7716927046042790247
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,151,50,measure,1,A_bis,20000,1,200517,21,21,9174509055971193812
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,152,50,measure,2,A,20000,1,200519,21,21,14539101891845636013
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,153,51,measure,0,A_bis,20000,1,200538,21,21,16625639975371777095
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,154,51,measure,1,A,20000,1,215463,21,21,10650706602869632881
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,155,51,measure,2,B,20000,2,401031,21,21,8837397924783186418
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,156,52,measure,0,B,20000,2,401048,21,21,15022585843062129180
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,157,52,measure,1,A_bis,20000,1,208481,21,21,6851311022457447221
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,158,52,measure,2,A,20000,1,200512,21,21,2687437217892058399
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,159,53,measure,0,A,20000,1,200527,21,21,1519727167971353631
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,160,53,measure,1,B,20000,2,401040,21,21,11921498117361225963
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,161,53,measure,2,A_bis,20000,1,208735,21,21,2050934040651505206
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,162,54,measure,0,B,20000,2,401045,21,21,6173078011714728909
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,163,54,measure,1,A_bis,20000,1,200520,21,21,10550261894188519040
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,164,54,measure,2,A,20000,1,200520,21,21,12808577891439730824
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,165,55,measure,0,B,20000,2,406618,21,21,6048156363627834170
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,166,55,measure,1,A,20000,1,200515,21,21,236398533199665784
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,167,55,measure,2,A_bis,20000,1,200523,21,21,9007121322794812644
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,168,56,measure,0,B,20000,2,410592,21,21,1825817960553179625
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,169,56,measure,1,A,20000,1,200518,21,21,9631096629431233682
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,170,56,measure,2,A_bis,20000,1,200519,21,21,18253122604773498809
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,171,57,measure,0,A_bis,20000,1,200542,21,21,16802534166758288792
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,172,57,measure,1,A,20000,1,200699,21,21,8937034374351010731
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,173,57,measure,2,B,20000,2,408382,21,21,17844453786844210416
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,174,58,measure,0,B,20000,2,401203,21,21,1514846309402672501
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,175,58,measure,1,A_bis,20000,1,200680,21,21,11380206430540220175
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,176,58,measure,2,A,20000,1,210424,21,21,6566788410534269004
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,177,59,measure,0,A_bis,20000,1,200535,21,21,9862140598808359457
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,178,59,measure,1,B,20000,2,401029,21,21,1653502059028095251
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,179,59,measure,2,A,20000,1,200532,21,21,7276172295312406769
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,180,60,measure,0,A_bis,20000,1,210926,21,21,17545328122259420157
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,181,60,measure,1,B,20000,2,401036,21,21,12744908208983550258
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,182,60,measure,2,A,20000,1,200699,21,21,16764289122313331552
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,183,61,measure,0,A,20000,1,200674,21,21,14816880031268515724
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,184,61,measure,1,A_bis,20000,1,209736,21,21,13115567801996395190
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,185,61,measure,2,B,20000,2,401022,21,21,72301037690157113
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,186,62,measure,0,B,20000,2,401050,21,21,2575831410359879184
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,187,62,measure,1,A,20000,1,209292,21,21,18435103421626697475
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,188,62,measure,2,A_bis,20000,1,200512,21,21,13257364423933735847
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,189,63,measure,0,A,20000,1,200537,21,21,17836261743582564989
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,190,63,measure,1,B,20000,2,401026,21,21,7871404108640514533
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,191,63,measure,2,A_bis,20000,1,207613,21,21,13954450607334623655
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,192,64,measure,0,A_bis,20000,1,200541,21,21,13657962497675506505
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,193,64,measure,1,A,20000,1,200529,21,21,9424827000273831248
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,194,64,measure,2,B,20000,2,401031,21,21,15510614128773247374
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,195,65,measure,0,B,20000,2,409067,21,21,2657166680333559179
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,196,65,measure,1,A,20000,1,200513,21,21,8364859537016863934
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,197,65,measure,2,A_bis,20000,1,200535,21,21,4131789985932126748
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,198,66,measure,0,A,20000,1,200536,21,21,183552621174780245
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,199,66,measure,1,B,20000,2,410813,21,21,13493822256438280635
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,200,66,measure,2,A_bis,20000,1,200699,21,21,18046097489156949281
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,201,67,measure,0,A_bis,20000,1,200855,21,21,12235607595894489768
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,202,67,measure,1,A,20000,1,200689,21,21,14009227116256891460
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,203,67,measure,2,B,20000,2,408078,21,21,13653573402389856979
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,204,68,measure,0,B,20000,2,401040,21,21,15678819475764069850
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,205,68,measure,1,A_bis,20000,1,200520,21,21,4251604028436441920
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,206,68,measure,2,A,20000,1,209999,21,21,873966032619398251
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,207,69,measure,0,A_bis,20000,1,200702,21,21,8782875988054807467
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,208,69,measure,1,B,20000,2,401135,21,21,5743812091822619329
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,209,69,measure,2,A,20000,1,200535,21,21,8247730134066049144
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,210,70,measure,0,A_bis,20000,1,210581,21,21,6639821620710902524
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,211,70,measure,1,A,20000,1,200668,21,21,16388692620447977381
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,212,70,measure,2,B,20000,2,401026,21,21,7876264734592304141
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,213,71,measure,0,A,20000,1,200538,21,21,7452303884181672285
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,214,71,measure,1,A_bis,20000,1,207066,21,21,3407657014639361634
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,215,71,measure,2,B,20000,2,401141,21,21,1365669056810943882
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,216,72,measure,0,B,20000,2,420747,21,21,14957094955127733877
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,217,72,measure,1,A_bis,20000,1,200540,21,21,12984993578348160694
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,218,72,measure,2,A,20000,1,199647,21,21,2440188252243238877
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,219,73,measure,0,B,20000,2,367630,21,21,6086119830824104866
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,220,73,measure,1,A_bis,20000,1,183818,21,21,18251619677035567946
