compiler,level,label,n,processes,calls_per_sample,median_ns_per_element,ci95_low,ci95_high,q25_ns_per_element,q75_ns_per_element,between_process_relative_iqr,median_ns_per_call,median_throughput_elements_per_s
gcc,O1,sum_indices,65536,15,64,0.412568,0.411960,0.412966,0.412053,0.412877,0.0020,27038.078,2423840914
gcc,O1,sum_indices,262144,15,16,0.412531,0.411853,0.412899,0.411861,0.412804,0.0023,108142.438,2424062247
gcc,O1,sum_indices,1048576,15,4,0.412774,0.412611,0.412932,0.412426,0.412914,0.0012,432825.250,2422631304
gcc,O1,sum_indices,4194304,15,1,0.412735,0.412126,0.413028,0.412187,0.413003,0.0020,1731138.000,2422859414
gcc,O2,sum_array,64,15,65536,0.591370,0.590651,0.592736,0.590681,0.592314,0.0028,37.848,1690989782
gcc,O2,sum_array,256,15,16384,0.410167,0.409133,0.410392,0.409298,0.410444,0.0028,105.003,2438034299
gcc,O2,sum_array,1024,15,4096,0.412990,0.410389,0.414154,0.410763,0.414222,0.0084,422.901,2421368384
gcc,O2,sum_array,4096,15,1024,0.413203,0.410587,0.413534,0.410776,0.413513,0.0066,1692.478,2420120743
gcc,O2,sum_array,16384,15,256,0.413858,0.413183,0.414027,0.412696,0.414126,0.0035,6780.656,2416285297
gcc,O2,sum_array,65536,15,64,0.414550,0.413661,0.419134,0.413739,0.420030,0.0152,27167.969,2412252480
gcc,O2,sum_array,262144,15,16,0.445930,0.430874,0.470357,0.433352,0.468193,0.0781,116898.000,2242502010
gcc,O2,sum_array,1048576,15,4,0.795306,0.638332,0.843681,0.636208,0.862109,0.2840,833939.000,1257377338
gcc,O2,sum_array,4194304,15,1,0.760393,0.736148,0.780706,0.735540,0.797808,0.0819,3189318.000,1315110002
gcc,O2,sum_array_bis,64,15,65536,0.587999,0.578572,0.591964,0.582292,0.591694,0.0160,37.632,1700682170
gcc,O2,sum_array_bis,256,15,16384,0.409993,0.408216,0.410843,0.407553,0.410623,0.0075,104.958,2439065011
