compiler,level,label,n,processes,calls_per_sample,median_ns_per_element,ci95_low,ci95_high,q25_ns_per_element,q75_ns_per_element,between_process_relative_iqr,median_ns_per_call,median_throughput_elements_per_s
clang,O0,sum_indices,256,2,4096,0.917672,0.901556,0.933787,0.909614,0.925730,0.0176,234.924,1089714351
clang,O0,sum_indices,1024,2,1024,0.854135,0.851030,0.857240,0.852582,0.855687,0.0036,874.634,1170775388
clang,O0,sum_indices,4096,2,256,0.834393,0.833749,0.835036,0.834071,0.834714,0.0008,3417.672,1198476668
clang,O0,sum_indices,16384,2,64,0.827823,0.826891,0.828755,0.827357,0.828289,0.0011,13563.055,1207987461
clang,O0,sum_indices,65536,2,16,0.919776,0.829195,1.010357,0.874486,0.965067,0.0985,60278.469,1087220717
clang,O0,sum_indices,262144,2,4,0.826325,0.825567,0.827083,0.825946,0.826704,0.0009,216616.125,1210177682
clang,O0,sum_indices,1048576,2,1,0.823623,0.821068,0.826177,0.822345,0.824900,0.0031,863631.000,1214148172
clang,O0,sum_indices,4194304,2,1,0.828512,0.820991,0.836032,0.824751,0.832272,0.0091,3475029.250,1206983797
clang,O1,sum_array,64,2,16384,0.604094,0.565574,0.642615,0.584834,0.623355,0.0638,38.662,1655370784
clang,O1,sum_array,256,2,4096,0.393961,0.393337,0.394586,0.393649,0.394274,0.0016,100.854,2538319553
clang,O1,sum_array,1024,2,1024,0.405207,0.398407,0.412008,0.401807,0.408608,0.0168,414.932,2467872035
clang,O1,sum_array,4096,2,256,0.406601,0.406097,0.407106,0.406349,0.406854,0.0012,1665.439,2459410933
clang,O1,sum_array,16384,2,64,0.404984,0.402729,0.407239,0.403857,0.406112,0.0056,6635.262,2469231915
clang,O1,sum_array,65536,2,16,0.412393,0.407171,0.417615,0.409782,0.415004,0.0127,27026.594,2424870874
clang,O1,sum_array,262144,2,4,0.500066,0.491198,0.508933,0.495632,0.504499,0.0177,131089.188,1999737774
clang,O1,sum_array,1048576,2,1,0.866020,0.826693,0.905348,0.846357,0.885684,0.0454,908088.250,1154707155
clang,O1,sum_array,4194304,2,1,0.914337,0.871701,0.956973,0.893019,0.935655,0.0466,3835008.750,1093688248
clang,O1,sum_array_bis,64,2,16384,0.577793,0.567015,0.588572,0.572404,0.583182,0.0187,36.979,1730722555
clang,O1,sum_array_bis,256,2,4096,0.398006,0.397276,0.398736,0.397641,0.398371,0.0018,101.890,2512525174
clang,O1,sum_array_bis,1024,2,1024,0.402340,0.402096,0.402585,0.402218,0.402463,0.0006,411.997,2485457513
clang,O1,sum_array_bis,4096,2,256,0.401664,0.401234,0.402094,0.401449,0.401879,0.0011,1645.215,2489644447
clang,O1,sum_array_bis,16384,2,64,0.405086,0.403394,0.406777,0.404240,0.405931,0.0042,6636.922,2468614263
clang,O1,sum_array_bis,65536,2,16,0.415894,0.405614,0.426174,0.410754,0.421034,0.0247,27256.016,2404460025
clang,O1,sum_array_bis,262144,2,4,0.531008,0.486880,0.575136,0.508944,0.553072,0.0831,139200.562,1883210781
clang,O1,sum_array_bis,1048576,2,1,0.814710,0.715077,0.914343,0.764894,0.864527,0.1223,854285.500,1227430408
clang,O1,sum_array_bis,4194304,2,1,0.799744,0.776067,0.823421,0.787906,0.811582,0.0296,3354369.500,1250400112
clang,O1,sum_array_twice,64,2,16384,1.078626,1.076470,1.080782,1.077548,1.079704,0.0020,69.032,927105276
clang,O1,sum_array_twice,256,2,4096,0.826753,0.811749,0.841757,0.819251,0.834255,0.0181,211.649,1209550895
clang,O1,sum_array_twice,1024,2,1024,0.803715,0.803332,0.804099,0.803524,0.803907,0.0005,823.005,1244221420
clang,O1,sum_array_twice,4096,2,256,0.809901,0.808522,0.811281,0.809212,0.810591,0.0017,3317.356,1234718086
clang,O1,sum_array_twice,16384,2,64,0.816173,0.807640,0.824706,0.811906,0.820439,0.0105,13372.176,1225230678
clang,O1,sum_array_twice,65536,2,16,0.819047,0.812938,0.825156,0.815993,0.822102,0.0075,53677.078,1220930838
clang,O1,sum_array_twice,262144,2,4,1.043736,0.874498,1.212973,0.959117,1.128354,0.1621,273609.000,958097139
clang,O1,sum_array_twice,1048576,2,1,1.466358,1.454277,1.478440,1.460317,1.472399,0.0082,1537588.000,681961618
clang,O1,sum_array_twice,4194304,2,1,1.564616,1.372465,1.756767,1.468541,1.660692,0.1228,6562476.000,639134376
clang,O1,sum_discarded,64,2,16384,0.025361,0.025094,0.025629,0.025227,0.025495,0.0106,1.623,39430156149
clang,O1,sum_discarded,256,2,4096,0.007002,0.006983,0.007021,0.006992,0.007012,0.0028,1.793,142813987538
clang,O1,sum_discarded,1024,2,1024,0.001627,0.001615,0.001639,0.001621,0.001633,0.0075,1.666,614550036630
clang,O1,sum_discarded,4096,2,256,0.000430,0.000425,0.000436,0.000428,0.000433,0.0127,1.763,2323714127424
clang,O1,sum_discarded,16384,2,64,0.000147,0.000142,0.000152,0.000144,0.000149,0.0325,2.406,6808935064935
clang,O1,sum_discarded,65536,2,16,0.000077,0.000067,0.000088,0.000072,0.000082,0.1358,5.062,12945382716049
clang,O1,sum_discarded,262144,2,4,0.000048,0.000046,0.000051,0.000047,0.000049,0.0443,12.688,20661596059113
clang,O1,sum_discarded,1048576,2,1,0.000040,0.000038,0.000041,0.000039,0.000041,0.0482,41.500,25266891566265
clang,O1,sum_discarded,4194304,2,1,0.000009,0.000009,0.000009,0.000009,0.000009,0.0128,39.000,107546256410256
clang,O1,sum_indices,64,2,16384,0.025503,0.025101,0.025905,0.025302,0.025704,0.0158,1.632,39210829407
clang,O1,sum_indices,256,2,4096,0.006314,0.006313,0.006314,0.006314,0.006314,0.0001,1.616,158383203686
clang,O1,sum_indices,1024,2,1024,0.001608,0.001607,0.001609,0.001608,0.001608,0.0004,1.647,621838991846
clang,O1,sum_indices,4096,2,256,0.000447,0.000444,0.000451,0.000446,0.000449,0.0075,1.832,2235769722814
clang,O1,sum_indices,16384,2,64,0.000233,0.000146,0.000319,0.000190,0.000276,0.3715,3.816,4293044012282
clang,O1,sum_indices,65536,2,16,0.000069,0.000066,0.000072,0.000067,0.000071,0.0483,4.531,14463117241379
clang,O1,sum_indices,262144,2,4,0.000049,0.000045,0.000053,0.000047,0.000051,0.0874,12.875,20360699029126
clang,O1,sum_indices,1048576,2,1,0.000045,0.000042,0.000048,0.000044,0.000047,0.0632,47.500,22075284210526
clang,O1,sum_indices,4194304,2,1,0.000009,0.000009,0.000009,0.000009,0.000009,0.0133,37.500,111848106666667
clang,O2,sum_array,64,2,16384,0.153929,0.150859,0.156999,0.152394,0.155464,0.0199,9.851,6496491777
