protocol,mode,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,74,20260990,libre,22,0,10,135,45,measure,0,A,20000,1,94954,6,6,2671272033757088026
interleaved,interleaved,74,20260990,libre,22,0,10,136,45,measure,1,A_bis,20000,1,94966,6,6,10015472469220252241
interleaved,interleaved,74,20260990,libre,22,0,10,137,45,measure,2,B,20000,2,189933,6,6,3094532291213285992
interleaved,interleaved,74,20260990,libre,22,0,10,138,46,measure,0,A,20000,1,94965,6,6,4544433854965102403
interleaved,interleaved,74,20260990,libre,22,0,10,139,46,measure,1,A_bis,20000,1,94961,6,6,2124699704226270196
interleaved,interleaved,74,20260990,libre,22,0,10,140,46,measure,2,B,20000,2,189914,6,6,17080061715864694412
interleaved,interleaved,74,20260990,libre,22,0,10,141,47,measure,0,A,20000,1,94971,6,6,2231783281602920137
interleaved,interleaved,74,20260990,libre,22,0,10,142,47,measure,1,A_bis,20000,1,94976,6,6,4607769542392980386
interleaved,interleaved,74,20260990,libre,22,0,10,143,47,measure,2,B,20000,2,193522,6,6,6514038577113271083
interleaved,interleaved,74,20260990,libre,22,0,10,144,48,measure,0,A_bis,20000,1,94966,6,6,3065058756797076626
interleaved,interleaved,74,20260990,libre,22,0,10,145,48,measure,1,A,20000,1,94974,6,6,14100779021318399561
interleaved,interleaved,74,20260990,libre,22,0,10,146,48,measure,2,B,20000,2,189921,6,6,16517550712957432546
interleaved,interleaved,74,20260990,libre,22,0,10,147,49,measure,0,A,20000,1,94956,6,6,367371934682135550
interleaved,interleaved,74,20260990,libre,22,0,10,148,49,measure,1,B,20000,2,189910,6,6,1795884374088669975
interleaved,interleaved,74,20260990,libre,22,0,10,149,49,measure,2,A_bis,20000,1,94970,6,6,3234813148452247536
interleaved,interleaved,74,20260990,libre,22,0,10,150,50,measure,0,B,20000,2,192598,6,6,12588013182733780938
interleaved,interleaved,74,20260990,libre,22,0,10,151,50,measure,1,A,20000,1,90219,6,6,10514254600741393322
interleaved,interleaved,74,20260990,libre,22,0,10,152,50,measure,2,A_bis,20000,1,90218,6,6,17107234648505500020
interleaved,interleaved,74,20260990,libre,22,0,10,153,51,measure,0,A_bis,20000,1,90224,6,6,3671197300149626382
